2020-03-14 11:34:41,813 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>,), {})
2020-03-14 11:34:41,813 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'message', 'time': 1584174835.661916, 'sender': 'Petr', 'recipient': 'test_user_1', 'message_text': 'Hello'}
2020-03-14 11:34:41,819 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:41,819 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>, {'response': 200}), {})
2020-03-14 11:34:41,822 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "message_handler"
2020-03-14 11:34:41,822 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>, {'action': 'message', 'time': 1584174835.661916, 'sender': 'Petr', 'recipient': 'test_user_1', 'message_text': 'Hello'}), {})
2020-03-14 11:34:41,822 - INFO     - server - Сообщение от пользователя Petr передано пользователю test_user_1.
2020-03-14 11:34:44,336 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:34:44,337 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>,), {})
2020-03-14 11:34:44,337 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'add_contact', 'time': 1584174861.689346, 'user': 'test_user_1', 'account_name': 'Petr'}
2020-03-14 11:34:44,349 - DEBUG    - server - Пользователь test_user_1 добавил Petr в список контактов.
2020-03-14 11:34:44,350 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:44,350 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>, {'response': 200}), {})
2020-03-14 11:35:07,505 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:35:07,505 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>,), {})
2020-03-14 11:35:07,505 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'message', 'time': 1584174861.6893451, 'sender': 'test_user_1', 'recipient': 'Petr', 'message_text': 'Как дела?'}
2020-03-14 11:35:07,579 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:35:07,579 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>, {'response': 200}), {})
2020-03-14 11:35:07,580 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "message_handler"
2020-03-14 11:35:07,580 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>, {'action': 'message', 'time': 1584174861.6893451, 'sender': 'test_user_1', 'recipient': 'Petr', 'message_text': 'Как дела?'}), {})
2020-03-14 11:35:07,580 - INFO     - server - Сообщение от пользователя test_user_1 передано пользователю Petr.
2020-03-14 11:35:13,845 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:35:13,846 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>,), {})
2020-03-14 11:35:13,846 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'exit', 'time': 1584174861.689344, 'user': 'test_user_1'}
2020-03-14 11:35:13,846 - INFO     - server - Клиент ('127.0.0.1', 65319) отключился от сервера.
2020-03-14 11:35:14,897 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:35:14,897 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>,), {})
2020-03-14 11:35:14,897 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'exit', 'time': 1584174835.661916, 'user': 'Petr'}
2020-03-14 11:35:14,897 - INFO     - server - Клиент ('127.0.0.1', 65315) отключился от сервера.
2020-03-14 11:44:40,379 - INFO     - server - Установлено соединение с клиентом ('127.0.0.1', 65377)
2020-03-14 11:44:40,396 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:44:40,396 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>,), {})
2020-03-14 11:44:40,396 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'presence', 'time': 1584175480.0844228, 'user': 'test_user_1'}
2020-03-14 11:44:40,399 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:44:40,399 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>, {'response': 200}), {})
2020-03-14 11:44:40,399 - INFO     - server - Клиент ('127.0.0.1', 65377) подключился. Отправлен ответ {'response': 200}
2020-03-14 11:44:44,983 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:44:44,983 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>,), {})
2020-03-14 11:44:44,984 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_registered', 'time': 1584175480.084427, 'user': 'test_user_1'}
2020-03-14 11:44:45,004 - DEBUG    - server - Пользователь test_user_1 запросил список зарегистрированных пользователей.
2020-03-14 11:44:45,029 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:44:45,029 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>, {'response': 202, 'data': ['test_user_1', 'test_user_2', 'test_user_3', 'lola', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'Petr', 'Peter', 'Ivan', 'Vasya', 'Ignat']}), {})
2020-03-14 11:44:47,439 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:44:47,439 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>,), {})
2020-03-14 11:44:47,439 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_contacts', 'time': 1584175480.084426, 'user': 'test_user_1'}
2020-03-14 11:44:47,449 - DEBUG    - server - Пользователь test_user_1 запросил список контактов.
2020-03-14 11:44:47,454 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
